timestamp,federation,strategy,num_server_rounds,local_epochs,repeat,exit_code,duration_sec
2025-09-23T07:22:52+00:00,small-simulation,0,50,1,17,0,276
2025-09-23T07:27:27+00:00,small-simulation,0,50,1,18,0,274
2025-09-23T07:32:00+00:00,small-simulation,0,50,1,19,0,272
2025-09-23T07:36:36+00:00,small-simulation,0,50,1,20,0,275
2025-09-23T08:06:01+00:00,small-simulation,0,50,1,21,0,1764
2025-09-23T08:10:25+00:00,small-simulation,0,50,1,22,0,263
2025-09-23T08:15:19+00:00,small-simulation,0,50,1,23,0,293
2025-09-23T08:20:05+00:00,small-simulation,0,50,1,24,0,285
2025-09-23T08:24:44+00:00,small-simulation,0,50,1,25,0,278
2025-09-23T08:29:26+00:00,small-simulation,0,50,1,26,0,281
2025-09-23T08:34:06+00:00,small-simulation,0,50,1,27,0,279
2025-09-23T08:38:48+00:00,small-simulation,0,50,1,28,0,281
2025-09-23T08:43:24+00:00,small-simulation,0,50,1,29,0,275
2025-09-23T08:47:56+00:00,small-simulation,0,50,1,30,0,271
2025-09-23T14:00:26+00:00,small-simulation,0,50,3,1,0,427
2025-09-23T14:08:56+00:00,small-simulation,0,50,3,2,0,509
2025-09-23T14:16:38+00:00,small-simulation,0,50,3,3,0,461
2025-09-23T14:25:01+00:00,small-simulation,0,50,3,4,0,502
2025-09-23T14:34:09+00:00,small-simulation,0,50,3,5,0,547
